Projections_from,Date,Guinea,Liberia,Sierra Leone,y1.Guinea,ymin1.Guinea,ymax1.Guinea,y1.Liberia,ymin1.Liberia,ymax1.Liberia,y1.Sierra Leone,ymin1.Sierra Leone,ymax1.Sierra Leone,y2.Guinea,ymin2.Guinea,ymax2.Guinea,y2.Liberia,ymin2.Liberia,ymax2.Liberia,y2.Sierra Leone,ymin2.Sierra Leone,ymax2.Sierra Leone,y4.Guinea,ymin4.Guinea,ymax4.Guinea,y4.Liberia,ymin4.Liberia,ymax4.Liberia,y4.Sierra Leone,ymin4.Sierra Leone,ymax4.Sierra Leone
2015-06-10,2015-06-11,11.3333333333335,0,64,11,5,20,8,3,14,91,71,114,11,5,18,8,3,15,90,70.975,113,11,4,19,8,2,14,91,69.975,116
2015-06-17,2015-06-18,36.6666666666665,0,94,12,5,20,1,0,4,73.5,55,92,12,5,20,1,0,4,73,55,94,12,5,21,1,0,4,73,55,92
2015-06-24,2015-06-25,11,0,60,26,15,38,0,0,1,82,64,103,25,15,38,0,0,1,82,62.975,104.025,25,15,39,0,0,1,82,63.975,103
2015-07-01,2015-07-02,19,4,36,23,12,36,0,0,0,70,51,89.025,23,13,34.025,0,0,0,68,52,88,23,13,35.025,0,0,0,69,52,89
2015-07-08,2015-07-09,12,3,54,18,9,29,0,0,1,47,33,62,18,9,28,0,0,1,47,32.975,63,18,9,28,0,0,1,47,33,62
2015-07-15,2015-07-16,13.6842105263158,0,46,16,8,26,0,0,1,44,31,59,16,8,25.025,0,0,1,44,31,59.025,15,8,25,0,0,1,44,30,60
2015-07-22,2015-07-23,5.15789473684208,0,35,15,8,25,0,0,2,38,25,53,15,7,24.025,0,0,2,38,26,52.025,15,7,25,0,0,2,38,26,52
2015-07-29,2015-07-30,5.15789473684208,0.117647058823422,116,9,3.975,16,0,0,2,33,23,47,9,3,18,0,0,2,33,22,48,9,4,16,0,0,2,33,22,47
2015-08-05,2015-08-06,1,0.117647058823422,64,7,2,13.025,0,0,2,67,49,88,7,2,13,0,0,2,67,50,88,7,2,13,0,0,2,67,50,88
2015-08-12,2015-08-13,1,0.117647058823422,24,2,0,6,0,0,2,61,42.975,81.025,3,0,7,0,0,2,61,44,80,2,0,7,0,0,1,61,45,81
2015-08-19,2015-08-20,6,0.117647058823422,47,1,0,5,0,0,1,42,28,58,1,0,5,0,0,1,42.5,29,59,1,0,5,0,0,1,42,29,58
2015-08-26,2015-08-27,5,0.117647058823422,68,2,0,6,0,0,1,41,28,57,2,0,5,0,0,1,42,28,56,2,0,6,0,0,1,41,28.975,55.025
2015-09-02,2015-09-03,0,0.117647058823422,74,2,0,6,0,0,1,50,35,66,2,0,6,0,0,1,50,36,68,2,0,6,0,0,1,50,34,68
2015-09-09,2015-09-10,0,0.117647058823422,73,1,0,4,0,0,1,61.5,45,80,1,0,4,0,0,1,62,44,80,1,0,4,0,0,1,62,45,81
2015-09-16,2015-09-17,3,0.117647058823422,67,0,0,3,0,0,1,71,52,92.025,0,0,3,0,0,1,70,52.975,90,0,0,3,0,0,1,71,53.975,90
