Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,Suspected Cases,Suspected Deaths,Confirmed Cases,Confirmed Deaths,Rule Outs,Long,Lat
Liberia,Liberia,Ebola,Humans,2732520,"PRO/SOAS> Ebola virus disease - West Africa (12): WHO update, US/Canada vaccine trials",http://promedmail.org/direct.php?id=20140830.2732520,8/30/14 15:48,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2729485,PRO/MENA> Ebola virus disease - West Africa: impact on air transportation,http://promedmail.org/direct.php?id=20140828.2729485,8/28/14 12:13,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2729485,PRO/MENA> Ebola virus disease - West Africa: impact on air transportation,http://promedmail.org/direct.php?id=20140828.2729485,8/28/14 12:13,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2729485,PRO/MENA> Ebola virus disease - West Africa: impact on air transportation,http://promedmail.org/direct.php?id=20140828.2729485,8/28/14 12:13,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2726531,PRO/EAFR> Ebola virus disease - West Africa (27): WHO update,http://promedmail.org/direct.php?id=20140827.431852,8/27/14 8:42,Breaking,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2726531,PRO/EAFR> Ebola virus disease - West Africa (27): WHO update,http://promedmail.org/direct.php?id=20140827.431852,8/27/14 8:42,Breaking,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2726531,PRO/EAFR> Ebola virus disease - West Africa (27): WHO update,http://promedmail.org/direct.php?id=20140827.431852,8/27/14 8:42,Breaking,,,,,,-9.30791,6.44809
Liberia,Liberia,Ebola,Humans,2721269,"PRO/SOAS> Ebola virus disease - West Africa (10): personnel, expert infected, therapies",http://promedmail.org/direct.php?id=20140827.2721269,8/27/14 1:16,No Tag,,,,,,-9.30791,6.44809
Sierra Leone,Sierra Leone,Ebola,Humans,2719128,"PRO/AH/EDR> Ebola virus disease - West Africa (137): Sierra Leone, decontamination, more",http://promedmail.org/direct.php?id=20140824.2719128,8/24/14 21:44,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2719128,"PRO/AH/EDR> Ebola virus disease - West Africa (137): Sierra Leone, decontamination, more",http://promedmail.org/direct.php?id=20140824.2719128,8/24/14 21:44,No Tag,,,,,,-9.30791,6.44809
Sierra Leone,Sierra Leone,Ebola,Humans,2717179,"PRO/AH/EDR> Ebola virus disease - West Africa (136): Nigeria, Sierra Leone, Liberia, more",http://promedmail.org/direct.php?id=20140823.2717179,8/23/14 20:46,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2717179,"PRO/AH/EDR> Ebola virus disease - West Africa (136): Nigeria, Sierra Leone, Liberia, more",http://promedmail.org/direct.php?id=20140823.2717179,8/23/14 20:46,No Tag,,,,,,-9.30791,6.44809
